"issue-reported-date","shipment-creation-date","fba-shipment-id","fulfillment-center-id","sku","fnsku","asin","product-name","problem-type","problem-quantity","coaching-level","fee-type","currency","fee-total","problem-level","alert-status"
"2021-02-13T04:16:08+00:00","2021-02-04T00:00:00+00:00","FBA15DK41VYW","BOM6","FY-0ADK-TW75","X001BAH419","B07ZQ3YP17","BERGNER Alpine Forged Aluminium Non-Stick Flat Tawa, 26 cm, Induction Base, Grey.","ITEM_OVERAGE","2","STANDARD",,,,"ITEM","NONE"
"2021-01-24T04:22:05+00:00","2021-01-13T00:00:00+00:00","FBA15DH5MTBN","SIDA","H3-MQ7E-4G7S","X0011DGJ8Z","B071113J7M","Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder","ITEM_OVERAGE","30","STANDARD",,,,"ITEM","NONE"
"2021-01-23T10:36:05+00:00","2021-01-17T00:00:00+00:00","FBA15DHJG9BN","SIDA","G8-NV5Z-3H1O","X0017O8SM3","B08DG2MN26","Realme C11 (Rich Grey, 32 GB) (2 GB RAM)","VENDOR_DAMAGED","1","STANDARD",,,,"ITEM","NONE"
"2021-01-14T11:47:04+00:00","2020-12-31T00:00:00+00:00","FBA15DG6SZG6","BOM4","LR-Y1CL-MMLY","X001AHOXR1","B07G5XBWW2","BERGNER Bellini+ Pressed Aluminium Non-Stick Flat Tawa, 32 cm, Induction Base, Red","VENDOR_DAMAGED","12","STANDARD",,,,"ITEM","NONE"
"2020-12-31T11:11:49+00:00","2020-12-21T00:00:00+00:00","FBA15DFK11T7","BOM4","M8-XSJW-VFH4","X0015MV06X","B01GE4XLOW","Panasonic SR-WA18-E 4.4-Litre Automatic Rice Cooker (White)","WRONG_DC","24","--",,,,"ITEM","NONE"
"2020-12-10T23:18:45+00:00","2020-12-04T00:00:00+00:00","FBA15DD2NL4L","BOM6","7Q-7E4H-F6JD","X0015P2IUR","B003U3CJNK","Wahl Clean & Confident Ladies Battery Pen Trimmer & Detailer with Rinseable Blades for Hygienic Grooming & Easy Cleaning for Eyebrows, Facial Hair, Bikini Lines, Other Detailing (purple)","TITLE","12","STANDARD",,,,"ITEM","NONE"
"2020-10-11T03:14:39+00:00","2020-09-07T00:00:00+00:00","FBA15D5DGTV2","BOM6","58-GNQE-TEWV","X0015MS2D7","B07H3YYQ14","Panasonic AC MX-AC400 550-Watt Super Mixer Grinder with 4 Jars (White)","ITEM_OVERAGE","2","STANDARD",,,,"ITEM","NONE"
"2020-10-09T07:17:11+00:00","2020-09-16T00:00:00+00:00","FBA15D634JL7","SDEF","BQ-UY3A-NC37","X0017IXNOH","B084KYJ1CV","Prestige Svachh, 20255, 5 L, Deep Pressure Pan, with deep lid for Spillage Control","VENDOR_DAMAGED","2","CRITICAL",,,,"ITEM","ACKNOWLEDGED"
"2020-10-04T11:18:36+00:00","2020-09-14T00:00:00+00:00","FBA15D5Y36YD","SIDA","J4-KAKA-0G4X","X000QUHCHB","B014HDJ7ZE","Bajaj Majesty Duetto Gas 6 LTR Vertical Water Heater (LPG), White","ITEM_MISLABELED","10","CRITICAL",,,,"ITEM","ACKNOWLEDGED"
"2020-09-30T03:16:08+00:00","2020-08-28T00:00:00+00:00","FBA15D4VWX9N","BOM4","BA-549F-Q2C9","X00184X7MD","B07X3348RH","Maharaja Whiteline Electric Kettle Viva Excel 1.8L Steel, 1500 Watt","ITEM_OVERAGE","1","STANDARD",,,,"ITEM","NONE"
